id;firstname;last_name;school
1;Bedfordshire indigo radical;Morar;Cotton Rand PCI
2;plug-and-play;Smitham;Shoes
3;Analyst;Gleason;Monitored bypassing Orchestrator
4;cross-platform connect Refined;Rodriguez;Chair sensor
5;Administrator;Brown;Planner multi-tasking
6;New Hampshire virtual Shoes;Littel;South Dakota eco-centric even-keeled
7;algorithm Handmade;Thiel;leading edge generate Executive
8;Handcrafted Fresh Chair Iran Intranet;Little;Accounts Alabama olive
9;budgetary management transmit payment;Hickle;Glens
10;wireless dedicated Sports;Muller;Total system matrix
